"player";"post";"lineup";"matchday"
"Marouane Fellaini";"Defensive Midfield";"starting";29
"Antonio Valencia";"Right Midfield";"starting";29
"Ashley Young";"Left Midfield";"starting";29
"Juan Mata";"Attacking Midfield";"starting";29
"Jesse Lingard";"Attacking Midfield";"starting";29
"Marcus Rashford";"Centre-Forward";"starting";29
"Sergio Romero";"Keeper";"bench";29
"Marcos Rojo";"Left-Back";"bench";29
"Luke Shaw";"Left-Back";"bench";29
"Matteo Darmian";"Right-Back";"bench";29
"Timothy Fosu-Mensah";"Defensive Midfield";"bench";29
"Henrikh Mkhitaryan";"Attacking Midfield";"bench";29
"Anthony Martial";"Centre-Forward";"bench";29
"David de Gea";"Keeper";"starting";30
"Marcos Rojo";"Centre-Back";"starting";30
"Eric Bailly";"Centre-Back";"starting";30
"Ashley Young";"Left-Back";"starting";30
"Antonio Valencia";"Right-Back";"starting";30
"Michael Carrick";"Defensive Midfield";"starting";30
"Marouane Fellaini";"Defensive Midfield";"starting";30
"Henrikh Mkhitaryan";"Attacking Midfield";"starting";30
"Anthony Martial";"Left Wing";"starting";30
"Jesse Lingard";"Right Wing";"starting";30
"Marcus Rashford";"Centre-Forward";"starting";30
"Sergio Romero";"Keeper";"bench";30
"Axel Tuanzebe";"Centre-Back";"bench";30
"Daley Blind";"Left-Back";"bench";30
"Matteo Darmian";"Right-Back";"bench";30
"Timothy Fosu-Mensah";"Defensive Midfield";"bench";30
"Matthew Willock";"Central Midfield";"bench";30
"Wayne Rooney";"Secondary Striker";"bench";30
"David de Gea";"Keeper";"starting";31
"Marcos Rojo";"Centre-Back";"starting";31
"Eric Bailly";"Centre-Back";"starting";31
"Daley Blind";"Left-Back";"starting";31
"Ashley Young";"Right-Back";"starting";31
"Michael Carrick";"Defensive Midfield";"starting";31
"Ander Herrera";"Central Midfield";"starting";31
"Marouane Fellaini";"Central Midfield";"starting";31
"Marcus Rashford";"Left Wing";"starting";31
"Jesse Lingard";"Right Wing";"starting";31
"Zlatan Ibrahimovic";"Centre-Forward";"starting";31
"Sergio Romero";"Keeper";"bench";31
"Luke Shaw";"Left-Back";"bench";31
"Matteo Darmian";"Right-Back";"bench";31
"Timothy Fosu-Mensah";"Defensive Midfield";"bench";31
"Paul Pogba";"Defensive Midfield";"bench";31
"Henrikh Mkhitaryan";"Attacking Midfield";"bench";31
"Anthony Martial";"Centre-Forward";"bench";31
"Sergio Romero";"Keeper";"starting";32
"Marcos Rojo";"Centre-Back";"starting";32
"Eric Bailly";"Centre-Back";"starting";32
"Luke Shaw";"Left-Back";"starting";32
"Matteo Darmian";"Right-Back";"starting";32
"Ander Herrera";"Defensive Midfield";"starting";32
"Marouane Fellaini";"Right Midfield";"starting";32
"Paul Pogba";"Left Midfield";"starting";32
"Henrikh Mkhitaryan";"Attacking Midfield";"starting";32
"Jesse Lingard";"Attacking Midfield";"starting";32
"Zlatan Ibrahimovic";"Centre-Forward";"starting";32
"Joel Pereira";"Keeper";"bench";32
"Axel Tuanzebe";"Centre-Back";"bench";32
"Daley Blind";"Left-Back";"bench";32
"Michael Carrick";"Defensive Midfield";"bench";32
"Timothy Fosu-Mensah";"Defensive Midfield";"bench";32
"Anthony Martial";"Left Wing";"bench";32
"Marcus Rashford";"Right Wing";"bench";32
"David de Gea";"Keeper";"starting";33
"Marcos Rojo";"Centre-Back";"starting";33
"Eric Bailly";"Centre-Back";"starting";33
"Matteo Darmian";"Centre-Back";"starting";33
"Paul Pogba";"Central Midfield";"starting";33
"Ander Herrera";"Central Midfield";"starting";33
"Marouane Fellaini";"Central Midfield";"starting";33
"Antonio Valencia";"Right Midfield";"starting";33
"Ashley Young";"Left Midfield";"starting";33
"Jesse Lingard";"Secondary Striker";"starting";33
"Marcus Rashford";"Centre-Forward";"starting";33
"Sergio Romero";"Keeper";"bench";33
"Daley Blind";"Left-Back";"bench";33
