Player;Position;Age;Minutes played;Height;Weight;Tackle succ. %;Interceptions per 90;Goals per 90;Head goals per 90;Shots per 90;Shots on target %;Assists per 90;Crosses per 90;Dribbles per 90;Dribbles succ. %;Touches in box per 90;Passes per 90;Passes acc. %
Daniel Bessa;LCMF3, LCMF, CF;24;3581;178;75;33,33;2,73;0,1;0;1,75;39,71;0,03;2,29;1,75;63,24;1,52;50,81;83,61
I. Santini;CF;28;3581;190;90;0;1,73;0,33;0,13;2,04;40,51;0,05;0,08;0,7;55,56;2,73;20,5;72,08
T. Müller;AMF, CF, RCMF3;28;3567;186;75;33,33;1,92;0,25;0;1,97;44,74;0,41;3;0,47;44,44;6,06;38,75;79,23
E. Forsberg;LW, LAMF;26;3562;179;78;20;1,81;0,25;0;2,36;34,07;0,34;1,09;2,67;61,17;1,89;27,45;78,19
T. Cleverley;AMF, LCMF, RCMF;28;3532;175;67;52,17;3,58;0,03;0;0,6;21,74;0,08;1,36;0,21;50;0,5;43,95;85,66
D. Caligiuri;RWB, RAMF, CF;30;3511;182;80;38,1;4,2;0,18;0,03;1,13;45,45;0,13;2,72;1,67;66,15;1,64;36,48;77,51
J. Ayew;CF, AMF, LW;26;3511;182;81;43,75;2,18;0,18;0,03;1,72;41,79;0,15;1,82;2,69;63,81;2,36;23,38;84,76
Thomas;RCMF, RB, RW;24;3493;185;76;54,55;5,04;0,23;0,03;1,15;30,23;0,05;0,94;1,74;66,15;0,72;47,89;84,79
Bruno Fernandes;AMF, LCMF;23;3489;179;69;23,81;2,85;0,28;0;2,9;41,44;0,26;3,53;1,54;59,32;2,33;46,7;76,25
S. Zuber;LWB, LB5, LAMF;26;3477;182;79;66,67;4,66;0,1;0;1,48;29,82;0,18;2,51;1,27;63,27;1,73;42,66;80,46
R. Rodelin;CF, LW;28;3468;192;82;11,11;2,73;0,26;0,08;2,89;29,73;0,08;2,29;1,48;54,39;2,21;33,31;72,63
C. Günter;LB, LWB, LB5;24;3455;185;80;20;3,54;0,03;0;0,73;35,71;0,08;3,18;1,69;63,08;0,6;35,19;75,13
V. Moses;RWB;27;3432;177;85;25;3,8;0,05;0;1,44;30,91;0,13;3,99;2,07;67,09;2,73;35,64;78,07
J. King;CF, AMF;25;3424;180;74;0;1,92;0,5;0;2,13;43,21;0,11;1,5;3,13;59,66;3,6;21,26;78,74
J. dos Santos;RW, LCMF, RCMF3;27;3421;172;68;23,53;3,6;0,03;0,03;1,1;16,67;0,16;0,97;1,1;76,19;0,97;52,01;90,09
A. Kramarić;CF, LCMF3;26;3415;177;73;25;1,32;0,45;0,03;2,71;39,81;0,18;3;1,05;65;2,79;32,68;80,16
W. Zaha;CF, RW, LW;25;3413;180;66;50;1,53;0,18;0;1,86;33,33;0,13;3,74;6,19;63,04;3,79;19,22;69,33
F. Guilbert;RB, RB5;23;3413;178;70;48,21;6,49;0;0;0,37;21,43;0;3,34;1,39;48,08;0,48;29,68;73,45
A. Oxlade-Chamberlain;RAMF, RCMF3, RWB;24;3412;175;70;27,59;4,41;0,11;0;1,66;32,79;0,16;3,37;2,78;71,57;2,12;44,28;80,52
