"player";"lineup";"post";"matchday"
"Mesut Özil";"starting";"Attacking Midfield";11
"Alex Iwobi";"starting";"Attacking Midfield";11
"Alexis Sánchez";"starting";"Centre-Forward";11
"Matt Macey";"bench";"Keeper";11
"Mathieu Debuchy";"bench";"Right-Back";11
"Mohamed Elneny";"bench";"Defensive Midfield";11
"Jack Wilshere";"bench";"Defensive Midfield";11
"Theo Walcott";"bench";"Right Wing";11
"Olivier Giroud";"bench";"Centre-Forward";11
"Alexandre Lacazette";"bench";"Right Wing";11
"Petr Cech";"starting";"Keeper";12
"Laurent Koscielny";"starting";"Centre-Back";12
"Shkodran Mustafi";"starting";"Centre-Back";12
"Nacho Monreal";"starting";"Centre-Back";12
"Granit Xhaka";"starting";"Defensive Midfield";12
"Aaron Ramsey";"starting";"Defensive Midfield";12
"Héctor Bellerín";"starting";"Right Midfield";12
"Sead Kolasinac";"starting";"Left Midfield";12
"Mesut Özil";"starting";"Attacking Midfield";12
"Alexis Sánchez";"starting";"Secondary Striker";12
"Alexandre Lacazette";"starting";"Centre-Forward";12
"David Ospina";"bench";"Keeper";12
"Per Mertesacker";"bench";"Centre-Back";12
"Francis Coquelin";"bench";"Defensive Midfield";12
"Jack Wilshere";"bench";"Central Midfield";12
"Ainsley Maitland-Niles";"bench";"Right Midfield";12
"Alex Iwobi";"bench";"Attacking Midfield";12
"Danny Welbeck";"bench";"Centre-Forward";12
"Petr Cech";"starting";"Keeper";13
"Laurent Koscielny";"starting";"Centre-Back";13
"Shkodran Mustafi";"starting";"Centre-Back";13
"Nacho Monreal";"starting";"Centre-Back";13
"Granit Xhaka";"starting";"Defensive Midfield";13
"Aaron Ramsey";"starting";"Defensive Midfield";13
"Héctor Bellerín";"starting";"Right Midfield";13
"Sead Kolasinac";"starting";"Left Midfield";13
"Alexis Sánchez";"starting";"Attacking Midfield";13
"Alex Iwobi";"starting";"Attacking Midfield";13
"Alexandre Lacazette";"starting";"Centre-Forward";13
"David Ospina";"bench";"Keeper";13
"Per Mertesacker";"bench";"Centre-Back";13
"Francis Coquelin";"bench";"Defensive Midfield";13
"Jack Wilshere";"bench";"Attacking Midfield";13
"Ainsley Maitland-Niles";"bench";"Right Midfield";13
"Olivier Giroud";"bench";"Centre-Forward";13
"Danny Welbeck";"bench";"Centre-Forward";13
"Petr Cech";"starting";"Keeper";14
"Laurent Koscielny";"starting";"Centre-Back";14
"Shkodran Mustafi";"starting";"Centre-Back";14
"Nacho Monreal";"starting";"Centre-Back";14
"Granit Xhaka";"starting";"Defensive Midfield";14
"Aaron Ramsey";"starting";"Defensive Midfield";14
"Héctor Bellerín";"starting";"Right Midfield";14
"Sead Kolasinac";"starting";"Left Midfield";14
"Mesut Özil";"starting";"Attacking Midfield";14
"Alexis Sánchez";"starting";"Attacking Midfield";14
"Alexandre Lacazette";"starting";"Centre-Forward";14
"David Ospina";"bench";"Keeper";14
"Per Mertesacker";"bench";"Centre-Back";14
"Francis Coquelin";"bench";"Defensive Midfield";14
"Jack Wilshere";"bench";"Central Midfield";14
"Alex Iwobi";"bench";"Left Wing";14
"Olivier Giroud";"bench";"Centre-Forward";14
"Danny Welbeck";"bench";"Secondary Striker";14
"Petr Cech";"starting";"Keeper";15
"Laurent Koscielny";"starting";"Centre-Back";15
"Shkodran Mustafi";"starting";"Centre-Back";15
"Nacho Monreal";"starting";"Centre-Back";15
"Granit Xhaka";"starting";"Defensive Midfield";15
"Aaron Ramsey";"starting";"Defensive Midfield";15
"Héctor Bellerín";"starting";"Right Midfield";15
"Sead Kolasinac";"starting";"Left Midfield";15
"Mesut Özil";"starting";"Attacking Midfield";15
"Alexis Sánchez";"starting";"Attacking Midfield";15
"Alexandre Lacazette";"starting";"Centre-Forward";15
"David Ospina";"bench";"Keeper";15
"Per Mertesacker";"bench";"Centre-Back";15
"Francis Coquelin";"bench";"Defensive Midfield";15
"Jack Wilshere";"bench";"Central Midfield";15
"Alex Iwobi";"bench";"Attacking Midfield";15
"Olivier Giroud";"bench";"Centre-Forward";15
"Danny Welbeck";"bench";"Centre-Forward";15
"Petr Cech";"starting";"Keeper";16
"Per Mertesacker";"starting";"Centre-Back";16
"Laurent Koscielny";"starting";"Centre-Back";16
"Nacho Monreal";"starting";"Centre-Back";16
"Granit Xhaka";"starting";"Defensive Midfield";16
"Aaron Ramsey";"starting";"Defensive Midfield";16
"Héctor Bellerín";"starting";"Right Midfield";16
"Sead Kolasinac";"starting";"Left Midfield";16
"Mesut Özil";"starting";"Attacking Midfield";16
"Alexis Sánchez";"starting";"Attacking Midfield";16
"Alexandre Lacazette";"starting";"Centre-Forward";16
"David Ospina";"bench";"Keeper";16
"Francis Coquelin";"bench";"Defensive Midfield";16
"Jack Wilshere";"bench";"Central Midfield";16
"Ainsley Maitland-Niles";"bench";"Right Midfield";16
"Alex Iwobi";"bench";"Left Wing";16
"Olivier Giroud";"bench";"Centre-Forward";16
"Danny Welbeck";"bench";"Right Wing";16
"Petr Cech";"starting";"Keeper";17
"Laurent Koscielny";"starting";"Centre-Back";17
"Nacho Monreal";"starting";"Centre-Back";17
"Ainsley Maitland-Niles";"starting";"Left-Back";17
"Héctor Bellerín";"starting";"Right-Back";17
"Granit Xhaka";"starting";"Defensive Midfield";17
"Jack Wilshere";"starting";"Central Midfield";17
"Mesut Özil";"starting";"Attacking Midfield";17
"Alexis Sánchez";"starting";"Left Wing";17
"Alex Iwobi";"starting";"Right Wing";17
"Olivier Giroud";"starting";"Centre-Forward";17
"David Ospina";"bench";"Keeper";17
"Calum Chambers";"bench";"Centre-Back";17
"Sead Kolasinac";"bench";"Left-Back";17
"Francis Coquelin";"bench";"Defensive Midfield";17
"Mohamed Elneny";"bench";"Defensive Midfield";17
"Alexandre Lacazette";"bench";"Left Wing";17
"Danny Welbeck";"bench";"Right Wing";17
"Petr Cech";"starting";"Keeper";18
"Laurent Koscielny";"starting";"Centre-Back";18
"Nacho Monreal";"starting";"Centre-Back";18
"Ainsley Maitland-Niles";"starting";"Left-Back";18
"Héctor Bellerín";"starting";"Right-Back";18
"Granit Xhaka";"starting";"Defensive Midfield";18
"Jack Wilshere";"starting";"Central Midfield";18
"Mesut Özil";"starting";"Attacking Midfield";18
"Alexis Sánchez";"starting";"Left Wing";18
"Alex Iwobi";"starting";"Right Wing";18
"Alexandre Lacazette";"starting";"Centre-Forward";18
"David Ospina";"bench";"Keeper";18
"Calum Chambers";"bench";"Centre-Back";18
"Sead Kolasinac";"bench";"Left-Back";18
"Francis Coquelin";"bench";"Defensive Midfield";18
"Mohamed Elneny";"bench";"Defensive Midfield";18
