"player";"lineup";"post";"matchday"
"Mesut Özil";"starting";"Attacking Midfield";16
"Theo Walcott";"starting";"Right Wing";16
"Alexis Sánchez";"starting";"Centre-Forward";16
"David Ospina";"bench";"Keeper";16
"Rob Holding";"bench";"Centre-Back";16
"Kieran Gibbs";"bench";"Left-Back";16
"Mohamed Elneny";"bench";"Defensive Midfield";16
"Alex Iwobi";"bench";"Attacking Midfield";16
"Lucas Pérez";"bench";"Right Wing";16
"Olivier Giroud";"bench";"Centre-Forward";16
"Petr Cech";"starting";"Keeper";17
"Gabriel Paulista";"starting";"Centre-Back";17
"Laurent Koscielny";"starting";"Centre-Back";17
"Nacho Monreal";"starting";"Left-Back";17
"Héctor Bellerín";"starting";"Right-Back";17
"Granit Xhaka";"starting";"Defensive Midfield";17
"Francis Coquelin";"starting";"Defensive Midfield";17
"Mesut Özil";"starting";"Attacking Midfield";17
"Alex Iwobi";"starting";"Left Wing";17
"Theo Walcott";"starting";"Right Wing";17
"Alexis Sánchez";"starting";"Centre-Forward";17
"David Ospina";"bench";"Keeper";17
"Rob Holding";"bench";"Centre-Back";17
"Kieran Gibbs";"bench";"Left-Back";17
"Mohamed Elneny";"bench";"Central Midfield";17
"Alex Oxlade-Chamberlain";"bench";"Left Midfield";17
"Lucas Pérez";"bench";"Centre-Forward";17
"Olivier Giroud";"bench";"Centre-Forward";17
"Petr Cech";"starting";"Keeper";18
"Gabriel Paulista";"starting";"Centre-Back";18
"Laurent Koscielny";"starting";"Centre-Back";18
"Kieran Gibbs";"starting";"Left-Back";18
"Héctor Bellerín";"starting";"Right-Back";18
"Granit Xhaka";"starting";"Defensive Midfield";18
"Francis Coquelin";"starting";"Defensive Midfield";18
"Mesut Özil";"starting";"Attacking Midfield";18
"Alexis Sánchez";"starting";"Left Wing";18
"Alex Iwobi";"starting";"Right Wing";18
"Olivier Giroud";"starting";"Centre-Forward";18
"David Ospina";"bench";"Keeper";18
"Rob Holding";"bench";"Centre-Back";18
"Nacho Monreal";"bench";"Left-Back";18
"Mohamed Elneny";"bench";"Defensive Midfield";18
"Aaron Ramsey";"bench";"Central Midfield";18
"Jeff Reine-Adelaide";"bench";"Central Midfield";18
"Lucas Pérez";"bench";"Secondary Striker";18
"Petr Cech";"starting";"Keeper";19
"Gabriel Paulista";"starting";"Centre-Back";19
"Laurent Koscielny";"starting";"Centre-Back";19
"Nacho Monreal";"starting";"Left-Back";19
"Héctor Bellerín";"starting";"Right-Back";19
"Granit Xhaka";"starting";"Defensive Midfield";19
"Mohamed Elneny";"starting";"Central Midfield";19
"Alex Iwobi";"starting";"Attacking Midfield";19
