"player";"lineup";"post";"matchday"
"Vincent Koziello";"bench";"Central Midfield";10
"Arnaud Lusamba";"bench";"Attacking Midfield";10
"Anastasios Donis";"bench";"Centre-Forward";10
"Yoan Cardinale";"starting";"Keeper";11
"Dante";"starting";"Centre-Back";11
"Malang Sarr";"starting";"Centre-Back";11
"Ricardo Pereira";"starting";"Left-Back";11
"Arnaud Souquet";"starting";"Right-Back";11
"Mathieu Bodmer";"starting";"Defensive Midfield";11
"Jean Michaël Seri";"starting";"Central Midfield";11
"Wylan Cyprien";"starting";"Central Midfield";11
"Younès Belhanda";"starting";"Left Wing";11
"Alassane Pléa";"starting";"Right Wing";11
"Mario Balotelli";"starting";"Centre-Forward";11
"Walter Benítez";"bench";"Keeper";11
"Olivier Boscagli";"bench";"Left-Back";11
"Patrick Burner";"bench";"Right-Back";11
"Vincent Koziello";"bench";"Central Midfield";11
"Arnaud Lusamba";"bench";"Attacking Midfield";11
"Valentin Eysseric";"bench";"Attacking Midfield";11
"Anastasios Donis";"bench";"Centre-Forward";11
"Yoan Cardinale";"starting";"Keeper";12
"Dante";"starting";"Centre-Back";12
"Malang Sarr";"starting";"Centre-Back";12
"Dalbert";"starting";"Left-Back";12
"Ricardo Pereira";"starting";"Right-Back";12
"Mathieu Bodmer";"starting";"Defensive Midfield";12
"Jean Michaël Seri";"starting";"Central Midfield";12
"Wylan Cyprien";"starting";"Central Midfield";12
"Younès Belhanda";"starting";"Left Wing";12
"Alassane Pléa";"starting";"Right Wing";12
"Mario Balotelli";"starting";"Centre-Forward";12
"Walter Benítez";"bench";"Keeper";12
"Olivier Boscagli";"bench";"Left-Back";12
"Arnaud Souquet";"bench";"Right-Back";12
"Rémi Walter";"bench";"Defensive Midfield";12
"Vincent Koziello";"bench";"Central Midfield";12
"Valentin Eysseric";"bench";"Attacking Midfield";12
"Anastasios Donis";"bench";"Centre-Forward";12
"Yoan Cardinale";"starting";"Keeper";13
"Dante";"starting";"Centre-Back";13
"Malang Sarr";"starting";"Centre-Back";13
"Dalbert";"starting";"Left-Back";13
"Ricardo Pereira";"starting";"Right-Back";13
"Wylan Cyprien";"starting";"Defensive Midfield";13
"Rémi Walter";"starting";"Central Midfield";13
"Jean Michaël Seri";"starting";"Central Midfield";13
"Younès Belhanda";"starting";"Left Wing";13
"Valentin Eysseric";"starting";"Right Wing";13
"Alassane Pléa";"starting";"Centre-Forward";13
"Walter Benítez";"bench";"Keeper";13
"Mathieu Bodmer";"bench";"Centre-Back";13
"Olivier Boscagli";"bench";"Left-Back";13
"Arnaud Souquet";"bench";"Right-Back";13
"Vincent Koziello";"bench";"Central Midfield";13
"Vincent Marcel";"bench";"Right Wing";13
"Anastasios Donis";"bench";"Centre-Forward";13
"Yoan Cardinale";"starting";"Keeper";14
"Dante";"starting";"Centre-Back";14
"Malang Sarr";"starting";"Centre-Back";14
"Dalbert";"starting";"Left-Back";14
"Ricardo Pereira";"starting";"Right-Back";14
"Wylan Cyprien";"starting";"Defensive Midfield";14
"Rémi Walter";"starting";"Central Midfield";14
"Jean Michaël Seri";"starting";"Central Midfield";14
"Younès Belhanda";"starting";"Left Wing";14
"Valentin Eysseric";"starting";"Right Wing";14
"Alassane Pléa";"starting";"Centre-Forward";14
"Walter Benítez";"bench";"Keeper";14
"Mathieu Bodmer";"bench";"Centre-Back";14
"Olivier Boscagli";"bench";"Left-Back";14
"Arnaud Souquet";"bench";"Right-Back";14
"Vincent Koziello";"bench";"Central Midfield";14
"Vincent Marcel";"bench";"Right Wing";14
"Anastasios Donis";"bench";"Centre-Forward";14
"Yoan Cardinale";"starting";"Keeper";15
"Dante";"starting";"Centre-Back";15
"Malang Sarr";"starting";"Centre-Back";15
"Dalbert";"starting";"Left-Back";15
"Ricardo Pereira";"starting";"Right-Back";15
"Wylan Cyprien";"starting";"Defensive Midfield";15
"Jean Michaël Seri";"starting";"Central Midfield";15
"Vincent Koziello";"starting";"Central Midfield";15
"Younès Belhanda";"starting";"Left Wing";15
"Valentin Eysseric";"starting";"Right Wing";15
"Alassane Pléa";"starting";"Centre-Forward";15
"Walter Benítez";"bench";"Keeper";15
"Mathieu Bodmer";"bench";"Centre-Back";15
"Olivier Boscagli";"bench";"Left-Back";15
"Arnaud Souquet";"bench";"Right-Back";15
"Rémi Walter";"bench";"Defensive Midfield";15
"Vincent Marcel";"bench";"Right Wing";15
"Anastasios Donis";"bench";"Centre-Forward";15
"Yoan Cardinale";"starting";"Keeper";16
"Dante";"starting";"Centre-Back";16
"Malang Sarr";"starting";"Centre-Back";16
"Dalbert";"starting";"Left-Back";16
"Ricardo Pereira";"starting";"Right-Back";16
"Wylan Cyprien";"starting";"Defensive Midfield";16
"Rémi Walter";"starting";"Central Midfield";16
"Jean Michaël Seri";"starting";"Central Midfield";16
"Younès Belhanda";"starting";"Left Wing";16
"Valentin Eysseric";"starting";"Right Wing";16
"Alassane Pléa";"starting";"Centre-Forward";16
"Walter Benítez";"bench";"Keeper";16
"Mathieu Bodmer";"bench";"Centre-Back";16
"Olivier Boscagli";"bench";"Left-Back";16
"Arnaud Souquet";"bench";"Right-Back";16
"Vincent Koziello";"bench";"Central Midfield";16
"Vincent Marcel";"bench";"Right Wing";16
"Anastasios Donis";"bench";"Centre-Forward";16
"Yoan Cardinale";"starting";"Keeper";17
"Dante";"starting";"Centre-Back";17
"Malang Sarr";"starting";"Centre-Back";17
"Arnaud Souquet";"starting";"Centre-Back";17
"Rémi Walter";"starting";"Defensive Midfield";17
"Jean Michaël Seri";"starting";"Central Midfield";17
"Wylan Cyprien";"starting";"Central Midfield";17
"Ricardo Pereira";"starting";"Right Midfield";17
"Dalbert";"starting";"Left Midfield";17
"Younès Belhanda";"starting";"Secondary Striker";17
"Alassane Pléa";"starting";"Centre-Forward";17
"Walter Benítez";"bench";"Keeper";17
"Mathieu Bodmer";"bench";"Centre-Back";17
"Olivier Boscagli";"bench";"Left-Back";17
"Vincent Koziello";"bench";"Central Midfield";17
"Vincent Marcel";"bench";"Right Wing";17
"Anastasios Donis";"bench";"Centre-Forward";17
"Mario Balotelli";"bench";"Centre-Forward";17
"Yoan Cardinale";"starting";"Keeper";18
"Maxime Le Marchand";"starting";"Centre-Back";18
"Dante";"starting";"Centre-Back";18
"Malang Sarr";"starting";"Left-Back";18
"Arnaud Souquet";"starting";"Right-Back";18
"Wylan Cyprien";"starting";"Defensive Midfield";18
"Rémi Walter";"starting";"Central Midfield";18
"Jean Michaël Seri";"starting";"Central Midfield";18
"Younès Belhanda";"starting";"Left Wing";18
"Alassane Pléa";"starting";"Right Wing";18
"Mario Balotelli";"starting";"Centre-Forward";18
"Walter Benítez";"bench";"Keeper";18
"Mathieu Bodmer";"bench";"Centre-Back";18
"Patrick Burner";"bench";"Right-Back";18
"Vincent Koziello";"bench";"Central Midfield";18
"Arnaud Lusamba";"bench";"Attacking Midfield";18
"Vincent Marcel";"bench";"Right Wing";18
"Anastasios Donis";"bench";"Centre-Forward";18
"Yoan Cardinale";"starting";"Keeper";19
"Maxime Le Marchand";"starting";"Centre-Back";19
"Malang Sarr";"starting";"Centre-Back";19
"Patrick Burner";"starting";"Left-Back";19
"Arnaud Souquet";"starting";"Right-Back";19
"Wylan Cyprien";"starting";"Defensive Midfield";19
"Jean Michaël Seri";"starting";"Central Midfield";19
"Vincent Koziello";"starting";"Central Midfield";19
"Younès Belhanda";"starting";"Left Wing";19
"Alassane Pléa";"starting";"Right Wing";19
"Mario Balotelli";"starting";"Centre-Forward";19
"Walter Benítez";"bench";"Keeper";19
"Mathieu Bodmer";"bench";"Centre-Back";19
"Rémi Walter";"bench";"Defensive Midfield";19
