"player";"lineup";"matchday"
"Olivier Giroud ";"player";18
"David Ospina ";"bench";18
"Rob Holding ";"bench";18
"Nacho Monreal ";"bench";18
"Mohamed Elneny ";"bench";18
"Aaron Ramsey ";"bench";18
"Jeff Reine-Adelaide ";"bench";18
"Lucas Pérez ";"bench";18
"Petr Cech ";"player";19
"Gabriel Paulista ";"player";19
"Laurent Koscielny  ";"player";19
"Nacho Monreal ";"player";19
"Héctor Bellerín ";"player";19
"Granit Xhaka ";"player";19
"Mohamed Elneny ";"player";19
"Alex Iwobi ";"player";19
"Alexis Sánchez ";"player";19
"Lucas Pérez ";"player";19
"Olivier Giroud ";"player";19
"David Ospina ";"bench";19
"Shkodran Mustafi ";"bench";19
"Francis Coquelin ";"bench";19
"Aaron Ramsey ";"bench";19
"Jeff Reine-Adelaide ";"bench";19
"Alex Oxlade-Chamberlain ";"bench";19
"Ainsley Maitland-Niles ";"bench";19
"Artur Boruc ";"player";20
"Nathan Aké ";"player";20
"Steve Cook ";"player";20
"Charlie Daniels ";"player";20
"Simon Francis  ";"player";20
"Harry Arter ";"player";20
"Dan Gosling ";"player";20
"Ryan Fraser ";"player";20
"Junior Stanislas ";"player";20
"Joshua King ";"player";20
"Callum Wilson ";"player";20
"Adam Federici ";"bench";20
"Tyrone Mings ";"bench";20
"Brad Smith ";"bench";20
"Adam Smith ";"bench";20
"Andrew Surman ";"bench";20
"Jordon Ibe ";"bench";20
"Lys Mousset ";"bench";20
"Lukasz Fabianski ";"player";21
"Alfie Mawson ";"player";21
"Federico Fernández ";"player";21
"Stephen Kingsley ";"player";21
"Kyle Naughton ";"player";21
"Sung-Yong Ki ";"player";21
"Jack Cork  ";"player";21
"Gylfi Sigurdsson ";"player";21
"Wayne Routledge ";"player";21
"Nathan Dyer ";"player";21
"Fernando Llorente ";"player";21
"Kristoffer Nordfeldt ";"bench";21
"Mike van der Hoorn ";"bench";21
"Ángel Rangel ";"bench";21
"Leroy Fer ";"bench";21
"Jay Fulton ";"bench";21
"Borja Bastón ";"bench";21
"Oliver McBurnie ";"bench";21
"Petr Cech ";"player";22
"Laurent Koscielny  ";"player";22
"Shkodran Mustafi ";"player";22
"Nacho Monreal ";"player";22
"Gabriel Paulista ";"player";22
"Granit Xhaka ";"player";22
"Aaron Ramsey ";"player";22
"Mesut Özil ";"player";22
"Alexis Sánchez ";"player";22
"Alex Iwobi ";"player";22
"Olivier Giroud ";"player";22
"David Ospina ";"bench";22
"Kieran Gibbs ";"bench";22
"Héctor Bellerín ";"bench";22
"Francis Coquelin ";"bench";22
"Alex Oxlade-Chamberlain ";"bench";22
"Lucas Pérez ";"bench";22
"Danny Welbeck ";"bench";22
"Petr Cech ";"player";23
"Laurent Koscielny  ";"player";23
"Shkodran Mustafi ";"player";23
"Nacho Monreal ";"player";23
"Gabriel Paulista ";"player";23
