"player";"post";"lineup";"matchday"
"Cameron Carter-Vickers";"Centre-Back";"bench";12
"Kieran Trippier";"Right-Back";"bench";12
"Dele Alli";"Attacking Midfield";"bench";12
"Josh Onomah";"Attacking Midfield";"bench";12
"Heung-Min Son";"Right Wing";"bench";12
"Hugo Lloris";"Keeper";"starting";13
"Jan Vertonghen";"Centre-Back";"starting";13
"Eric Dier";"Centre-Back";"starting";13
"Kevin Wimmer";"Left-Back";"starting";13
"Kyle Walker";"Right-Back";"starting";13
"Victor Wanyama";"Defensive Midfield";"starting";13
"Mousa Dembélé";"Central Midfield";"starting";13
"Dele Alli";"Central Midfield";"starting";13
"Christian Eriksen";"Right Midfield";"starting";13
"Heung-Min Son";"Left Wing";"starting";13
"Harry Kane";"Centre-Forward";"starting";13
"Michel Vorm";"Keeper";"bench";13
"Cameron Carter-Vickers";"Centre-Back";"bench";13
"Kieran Trippier";"Right-Back";"bench";13
"Harry Winks";"Central Midfield";"bench";13
"Josh Onomah";"Attacking Midfield";"bench";13
"Georges-Kevin N'Koudou";"Left Wing";"bench";13
"Vincent Janssen";"Centre-Forward";"bench";13
"Hugo Lloris";"Keeper";"starting";14
"Jan Vertonghen";"Centre-Back";"starting";14
"Eric Dier";"Centre-Back";"starting";14
"Danny Rose";"Left-Back";"starting";14
"Kyle Walker";"Right-Back";"starting";14
"Victor Wanyama";"Defensive Midfield";"starting";14
"Mousa Dembélé";"Central Midfield";"starting";14
"Christian Eriksen";"Right Midfield";"starting";14
"Dele Alli";"Attacking Midfield";"starting";14
"Heung-Min Son";"Left Wing";"starting";14
"Harry Kane";"Centre-Forward";"starting";14
"Michel Vorm";"Keeper";"bench";14
"Kevin Wimmer";"Centre-Back";"bench";14
"Cameron Carter-Vickers";"Centre-Back";"bench";14
"Moussa Sissoko";"Right Midfield";"bench";14
"Harry Winks";"Central Midfield";"bench";14
"Josh Onomah";"Attacking Midfield";"bench";14
"Georges-Kevin N'Koudou";"Left Wing";"bench";14
"Hugo Lloris";"Keeper";"starting";15
"Jan Vertonghen";"Centre-Back";"starting";15
"Toby Alderweireld";"Centre-Back";"starting";15
"Danny Rose";"Left-Back";"starting";15
"Kyle Walker";"Right-Back";"starting";15
"Victor Wanyama";"Defensive Midfield";"starting";15
"Mousa Dembélé";"Central Midfield";"starting";15
"Dele Alli";"Left Midfield";"starting";15
"Christian Eriksen";"Attacking Midfield";"starting";15
"Heung-Min Son";"Right Wing";"starting";15
"Harry Kane";"Centre-Forward";"starting";15
"Michel Vorm";"Keeper";"bench";15
"Kevin Wimmer";"Centre-Back";"bench";15
"Ben Davies";"Left-Back";"bench";15
"Eric Dier";"Defensive Midfield";"bench";15
"Moussa Sissoko";"Right Midfield";"bench";15
"Harry Winks";"Central Midfield";"bench";15
"Georges-Kevin N'Koudou";"Left Wing";"bench";15
"Hugo Lloris";"Keeper";"starting";16
"Jan Vertonghen";"Centre-Back";"starting";16
"Toby Alderweireld";"Centre-Back";"starting";16
"Eric Dier";"Centre-Back";"starting";16
"Victor Wanyama";"Defensive Midfield";"starting";16
"Kyle Walker";"Right Midfield";"starting";16
"Danny Rose";"Left Midfield";"starting";16
"Christian Eriksen";"Attacking Midfield";"starting";16
"Dele Alli";"Left Wing";"starting";16
"Moussa Sissoko";"Right Wing";"starting";16
"Harry Kane";"Centre-Forward";"starting";16
"Michel Vorm";"Keeper";"bench";16
"Ben Davies";"Left-Back";"bench";16
"Kieran Trippier";"Right-Back";"bench";16
"Harry Winks";"Defensive Midfield";"bench";16
"Josh Onomah";"Attacking Midfield";"bench";16
"Heung-Min Son";"Centre-Forward";"bench";16
"Georges-Kevin N'Koudou";"Left Wing";"bench";16
"Hugo Lloris";"Keeper";"starting";17
"Jan Vertonghen";"Centre-Back";"starting";17
"Eric Dier";"Centre-Back";"starting";17
"Danny Rose";"Left-Back";"starting";17
"Kyle Walker";"Right-Back";"starting";17
"Victor Wanyama";"Defensive Midfield";"starting";17
"Harry Winks";"Central Midfield";"starting";17
"Christian Eriksen";"Right Midfield";"starting";17
"Mousa Dembélé";"Left Midfield";"starting";17
"Dele Alli";"Attacking Midfield";"starting";17
"Harry Kane";"Centre-Forward";"starting";17
"Michel Vorm";"Keeper";"bench";17
