"player";"lineup";"post";"matchday"
"Ilkay Gündogan";"starting";"Defensive Midfield";14
"Jesús Navas";"starting";"Right Midfield";14
"Leroy Sané";"starting";"Left Midfield";14
"David Silva";"starting";"Attacking Midfield";14
"Kevin De Bruyne";"starting";"Attacking Midfield";14
"Sergio Agüero";"starting";"Centre-Forward";14
"Willy Caballero";"bench";"Keeper";14
"Gaël Clichy";"bench";"Left-Back";14
"Bacary Sagna";"bench";"Right-Back";14
"Pablo Zabaleta";"bench";"Right-Back";14
"Fernando";"bench";"Defensive Midfield";14
"Yaya Touré";"bench";"Central Midfield";14
"Kelechi Iheanacho";"bench";"Centre-Forward";14
"Claudio Bravo";"starting";"Keeper";15
"John Stones";"starting";"Centre-Back";15
"Bacary Sagna";"starting";"Centre-Back";15
"Aleksandar Kolarov";"starting";"Left-Back";15
"Pablo Zabaleta";"starting";"Right-Back";15
"Fernando";"starting";"Defensive Midfield";15
"Ilkay Gündogan";"starting";"Central Midfield";15
"David Silva";"starting";"Attacking Midfield";15
"Kevin De Bruyne";"starting";"Left Wing";15
"Jesús Navas";"starting";"Right Wing";15
"Kelechi Iheanacho";"starting";"Centre-Forward";15
"Willy Caballero";"bench";"Keeper";15
"Tosin Adarabioyo";"bench";"Centre-Back";15
"Gaël Clichy";"bench";"Left-Back";15
"Yaya Touré";"bench";"Central Midfield";15
"Leroy Sané";"bench";"Left Wing";15
"Raheem Sterling";"bench";"Left Wing";15
"Nolito";"bench";"Centre-Forward";15
"Claudio Bravo";"starting";"Keeper";16
"Nicolás Otamendi";"starting";"Centre-Back";16
"Aleksandar Kolarov";"starting";"Centre-Back";16
"Gaël Clichy";"starting";"Left-Back";16
"Pablo Zabaleta";"starting";"Right-Back";16
"Ilkay Gündogan";"starting";"Defensive Midfield";16
"Yaya Touré";"starting";"Defensive Midfield";16
"Kevin De Bruyne";"starting";"Attacking Midfield";16
"David Silva";"starting";"Left Wing";16
"Raheem Sterling";"starting";"Right Wing";16
"Nolito";"starting";"Centre-Forward";16
"Willy Caballero";"bench";"Keeper";16
"John Stones";"bench";"Centre-Back";16
"Bacary Sagna";"bench";"Right-Back";16
"Fernando";"bench";"Defensive Midfield";16
"Leroy Sané";"bench";"Left Wing";16
"Jesús Navas";"bench";"Right Wing";16
"Kelechi Iheanacho";"bench";"Centre-Forward";16
"Claudio Bravo";"starting";"Keeper";17
"Nicolás Otamendi";"starting";"Centre-Back";17
"Aleksandar Kolarov";"starting";"Centre-Back";17
"Gaël Clichy";"starting";"Left-Back";17
"Pablo Zabaleta";"starting";"Right-Back";17
"Fernando";"starting";"Defensive Midfield";17
"Yaya Touré";"starting";"Central Midfield";17
"David Silva";"starting";"Attacking Midfield";17
"Kevin De Bruyne";"starting";"Left Wing";17
"Leroy Sané";"starting";"Right Wing";17
"Raheem Sterling";"starting";"Centre-Forward";17
"Willy Caballero";"bench";"Keeper";17
"John Stones";"bench";"Centre-Back";17
"Bacary Sagna";"bench";"Right-Back";17
"Aleix García";"bench";"Defensive Midfield";17
"Nolito";"bench";"Left Wing";17
"Jesús Navas";"bench";"Right Wing";17
"Kelechi Iheanacho";"bench";"Centre-Forward";17
"Claudio Bravo";"starting";"Keeper";18
"John Stones";"starting";"Centre-Back";18
"Nicolás Otamendi";"starting";"Centre-Back";18
"Gaël Clichy";"starting";"Left-Back";18
"Bacary Sagna";"starting";"Right-Back";18
"Fernandinho";"starting";"Defensive Midfield";18
"Yaya Touré";"starting";"Central Midfield";18
"David Silva";"starting";"Attacking Midfield";18
"Kevin De Bruyne";"starting";"Left Wing";18
"Raheem Sterling";"starting";"Right Wing";18
"Nolito";"starting";"Centre-Forward";18
"Willy Caballero";"bench";"Keeper";18
"Aleksandar Kolarov";"bench";"Centre-Back";18
"Pablo Zabaleta";"bench";"Right-Back";18
"Fernando";"bench";"Defensive Midfield";18
"Aleix García";"bench";"Defensive Midfield";18
"Jesús Navas";"bench";"Right Wing";18
"Kelechi Iheanacho";"bench";"Centre-Forward";18
"Claudio Bravo";"starting";"Keeper";19
"John Stones";"starting";"Centre-Back";19
"Nicolás Otamendi";"starting";"Centre-Back";19
"Aleksandar Kolarov";"starting";"Left-Back";19
"Pablo Zabaleta";"starting";"Right-Back";19
"Fernandinho";"starting";"Defensive Midfield";19
"Yaya Touré";"starting";"Defensive Midfield";19
"David Silva";"starting";"Attacking Midfield";19
"Kevin De Bruyne";"starting";"Left Wing";19
"Raheem Sterling";"starting";"Right Wing";19
"Sergio Agüero";"starting";"Centre-Forward";19
"Willy Caballero";"bench";"Keeper";19
"Gaël Clichy";"bench";"Left-Back";19
"Bacary Sagna";"bench";"Right-Back";19
"Fernando";"bench";"Defensive Midfield";19
"Aleix García";"bench";"Defensive Midfield";19
"Jesús Navas";"bench";"Right Wing";19
"Kelechi Iheanacho";"bench";"Centre-Forward";19
"Claudio Bravo";"starting";"Keeper";20
"Nicolás Otamendi";"starting";"Centre-Back";20
"Aleksandar Kolarov";"starting";"Centre-Back";20
"Gaël Clichy";"starting";"Left-Back";20
"Bacary Sagna";"starting";"Right-Back";20
"Fernandinho";"starting";"Defensive Midfield";20
"Yaya Touré";"starting";"Defensive Midfield";20
"Kevin De Bruyne";"starting";"Attacking Midfield";20
"Raheem Sterling";"starting";"Left Wing";20
"Jesús Navas";"starting";"Right Wing";20
"Kelechi Iheanacho";"starting";"Centre-Forward";20
"Willy Caballero";"bench";"Keeper";20
"John Stones";"bench";"Centre-Back";20
"Pablo Zabaleta";"bench";"Right-Back";20
"Aleix García";"bench";"Defensive Midfield";20
"David Silva";"bench";"Central Midfield";20
"Nolito";"bench";"Left Wing";20
"Sergio Agüero";"bench";"Centre-Forward";20
"Claudio Bravo";"starting";"Keeper";21
"John Stones";"starting";"Centre-Back";21
"Nicolás Otamendi";"starting";"Centre-Back";21
"Gaël Clichy";"starting";"Left-Back";21
"Bacary Sagna";"starting";"Right-Back";21
"Yaya Touré";"starting";"Defensive Midfield";21
"Pablo Zabaleta";"starting";"Right Midfield";21
"Kevin De Bruyne";"starting";"Left Midfield";21
"David Silva";"starting";"Attacking Midfield";21
"Raheem Sterling";"starting";"Secondary Striker";21
"Sergio Agüero";"starting";"Centre-Forward";21
"Willy Caballero";"bench";"Keeper";21
"Aleksandar Kolarov";"bench";"Left-Back";21
"Aleix García";"bench";"Defensive Midfield";21
"Fabian Delph";"bench";"Central Midfield";21
"Leroy Sané";"bench";"Left Wing";21
"Jesús Navas";"bench";"Right Wing";21
"Kelechi Iheanacho";"bench";"Left Wing";21
"Claudio Bravo";"starting";"Keeper";22
"Nicolás Otamendi";"starting";"Centre-Back";22
"Aleksandar Kolarov";"starting";"Centre-Back";22
"Gaël Clichy";"starting";"Left-Back";22
"Pablo Zabaleta";"starting";"Right-Back";22
"Yaya Touré";"starting";"Defensive Midfield";22
"David Silva";"starting";"Central Midfield";22
"Kevin De Bruyne";"starting";"Central Midfield";22
"Leroy Sané";"starting";"Left Wing";22
"Raheem Sterling";"starting";"Right Wing";22
"Sergio Agüero";"starting";"Centre-Forward";22
"Willy Caballero";"bench";"Keeper";22
"Vincent Kompany";"bench";"Centre-Back";22
"John Stones";"bench";"Centre-Back";22
"Fernando";"bench";"Defensive Midfield";22
"Fabian Delph";"bench";"Central Midfield";22
"Nolito";"bench";"Left Wing";22
"Gabriel Jesus";"bench";"Centre-Forward";22
"Willy Caballero";"starting";"Keeper";23
"John Stones";"starting";"Centre-Back";23
"Nicolás Otamendi";"starting";"Centre-Back";23
"Aleksandar Kolarov";"starting";"Left-Back";23
"Bacary Sagna";"starting";"Right-Back";23
"Yaya Touré";"starting";"Defensive Midfield";23
"David Silva";"starting";"Central Midfield";23
"Kevin De Bruyne";"starting";"Central Midfield";23
"Leroy Sané";"starting";"Left Wing";23
"Raheem Sterling";"starting";"Right Wing";23
"Gabriel Jesus";"starting";"Centre-Forward";23
"Claudio Bravo";"bench";"Keeper";23
"Vincent Kompany";"bench";"Centre-Back";23
"Pablo Zabaleta";"bench";"Right-Back";23
"Fernandinho";"bench";"Central Midfield";23
"Fabian Delph";"bench";"Central Midfield";23
