"player";"lineup";"post";"matchday"
"Nemanja Matic";"starting";"Defensive Midfield";11
"N'Golo Kanté";"starting";"Defensive Midfield";11
"Victor Moses";"starting";"Right Midfield";11
"Marcos Alonso";"starting";"Left Midfield";11
"Eden Hazard";"starting";"Left Wing";11
"Pedro";"starting";"Right Wing";11
"Diego Costa";"starting";"Centre-Forward";11
"Asmir Begovic";"bench";"Keeper";11
"Branislav Ivanovic";"bench";"Centre-Back";11
"John Terry";"bench";"Centre-Back";11
"Ola Aina";"bench";"Right-Back";11
"Nathaniel Chalobah";"bench";"Defensive Midfield";11
"Oscar";"bench";"Attacking Midfield";11
"Michy Batshuayi";"bench";"Centre-Forward";11
"Thibaut Courtois";"starting";"Keeper";12
"David Luiz";"starting";"Centre-Back";12
"Gary Cahill";"starting";"Centre-Back";12
"César Azpilicueta";"starting";"Centre-Back";12
"Nemanja Matic";"starting";"Defensive Midfield";12
"N'Golo Kanté";"starting";"Defensive Midfield";12
"Victor Moses";"starting";"Right Midfield";12
"Marcos Alonso";"starting";"Left Midfield";12
"Eden Hazard";"starting";"Attacking Midfield";12
"Pedro";"starting";"Attacking Midfield";12
"Diego Costa";"starting";"Centre-Forward";12
"Asmir Begovic";"bench";"Keeper";12
"Branislav Ivanovic";"bench";"Centre-Back";12
"John Terry";"bench";"Centre-Back";12
"Nathaniel Chalobah";"bench";"Defensive Midfield";12
"Cesc Fàbregas";"bench";"Central Midfield";12
"Oscar";"bench";"Attacking Midfield";12
"Michy Batshuayi";"bench";"Centre-Forward";12
"Thibaut Courtois";"starting";"Keeper";13
"David Luiz";"starting";"Centre-Back";13
"Gary Cahill";"starting";"Centre-Back";13
"César Azpilicueta";"starting";"Centre-Back";13
"Nemanja Matic";"starting";"Defensive Midfield";13
"N'Golo Kanté";"starting";"Defensive Midfield";13
"Victor Moses";"starting";"Right Midfield";13
"Marcos Alonso";"starting";"Left Midfield";13
"Eden Hazard";"starting";"Attacking Midfield";13
"Pedro";"starting";"Attacking Midfield";13
"Diego Costa";"starting";"Centre-Forward";13
"Asmir Begovic";"bench";"Keeper";13
"Branislav Ivanovic";"bench";"Right-Back";13
"Nathaniel Chalobah";"bench";"Defensive Midfield";13
"Cesc Fàbregas";"bench";"Central Midfield";13
"Oscar";"bench";"Attacking Midfield";13
"Willian";"bench";"Attacking Midfield";13
"Michy Batshuayi";"bench";"Centre-Forward";13
"Thibaut Courtois";"starting";"Keeper";14
"David Luiz";"starting";"Centre-Back";14
"Gary Cahill";"starting";"Centre-Back";14
"César Azpilicueta";"starting";"Centre-Back";14
"N'Golo Kanté";"starting";"Defensive Midfield";14
"Cesc Fàbregas";"starting";"Defensive Midfield";14
"Victor Moses";"starting";"Right Midfield";14
"Marcos Alonso";"starting";"Left Midfield";14
"Eden Hazard";"starting";"Attacking Midfield";14
"Pedro";"starting";"Attacking Midfield";14
"Diego Costa";"starting";"Centre-Forward";14
"Asmir Begovic";"bench";"Keeper";14
"Branislav Ivanovic";"bench";"Centre-Back";14
"Ola Aina";"bench";"Right-Back";14
"Nathaniel Chalobah";"bench";"Defensive Midfield";14
"Oscar";"bench";"Attacking Midfield";14
"Willian";"bench";"Attacking Midfield";14
"Michy Batshuayi";"bench";"Centre-Forward";14
"Thibaut Courtois";"starting";"Keeper";15
"David Luiz";"starting";"Centre-Back";15
"Gary Cahill";"starting";"Centre-Back";15
"César Azpilicueta";"starting";"Centre-Back";15
"Nemanja Matic";"starting";"Defensive Midfield";15
"N'Golo Kanté";"starting";"Defensive Midfield";15
"Victor Moses";"starting";"Right Midfield";15
"Marcos Alonso";"starting";"Left Midfield";15
"Eden Hazard";"starting";"Attacking Midfield";15
"Pedro";"starting";"Attacking Midfield";15
"Diego Costa";"starting";"Centre-Forward";15
"Asmir Begovic";"bench";"Keeper";15
"Branislav Ivanovic";"bench";"Centre-Back";15
"Ola Aina";"bench";"Right-Back";15
"Nathaniel Chalobah";"bench";"Defensive Midfield";15
"Cesc Fàbregas";"bench";"Attacking Midfield";15
"Willian";"bench";"Attacking Midfield";15
"Michy Batshuayi";"bench";"Centre-Forward";15
"Thibaut Courtois";"starting";"Keeper";16
"David Luiz";"starting";"Centre-Back";16
"Gary Cahill";"starting";"Centre-Back";16
"César Azpilicueta";"starting";"Centre-Back";16
"N'Golo Kanté";"starting";"Defensive Midfield";16
"Cesc Fàbregas";"starting";"Defensive Midfield";16
"Victor Moses";"starting";"Right Midfield";16
"Marcos Alonso";"starting";"Left Midfield";16
"Pedro";"starting";"Attacking Midfield";16
"Willian";"starting";"Attacking Midfield";16
"Diego Costa";"starting";"Centre-Forward";16
"Asmir Begovic";"bench";"Keeper";16
"Branislav Ivanovic";"bench";"Centre-Back";16
"Kurt Zouma";"bench";"Centre-Back";16
"Nemanja Matic";"bench";"Defensive Midfield";16
"Nathaniel Chalobah";"bench";"Defensive Midfield";16
"Ruben Loftus-Cheek";"bench";"Central Midfield";16
"Michy Batshuayi";"bench";"Centre-Forward";16
"Thibaut Courtois";"starting";"Keeper";17
"David Luiz";"starting";"Centre-Back";17
"Gary Cahill";"starting";"Centre-Back";17
"César Azpilicueta";"starting";"Centre-Back";17
"Nemanja Matic";"starting";"Defensive Midfield";17
"N'Golo Kanté";"starting";"Defensive Midfield";17
"Victor Moses";"starting";"Right Midfield";17
"Marcos Alonso";"starting";"Left Midfield";17
"Eden Hazard";"starting";"Attacking Midfield";17
"Willian";"starting";"Attacking Midfield";17
"Diego Costa";"starting";"Centre-Forward";17
"Asmir Begovic";"bench";"Keeper";17
